inner_window,zscore_lookback,forward_window,metric,forward_days,n_valid,pearson_r,spearman_r,pearson_p,spearman_p,auc_bad_day,n_spikes,spike_flat_med,spike_steep_med,spike_ratio,spike_p,spike_passes_2x
5,60,1,slope,1,2449,,-0.04058920225358321,,0.04459495019197996,0.5600558547349703,341,-0.979047613030591,-1.0627825405121656,1.085526920618679,0.4353227386425337,False
5,60,1,spread,1,2437,,-0.04141893754126042,,0.040902721250318776,0.5116135165189941,341,-1.0831799247186122,-1.0349580449130866,0.9554811913468091,0.8985373375027732,False
5,60,1,steepening,1,2437,,-0.043313982939185175,,0.03250508738420613,0.5601239372959788,341,-0.9649245334205946,-1.0272447174957453,1.0645855524620456,0.9001267363249432,False
5,60,3,slope,3,2447,,-0.004943987809989033,,0.8068888471359474,0.5436763286566889,341,-1.0643721684915493,-0.9854250309539256,0.9258275066986117,0.11198188883106976,False
5,60,3,spread,3,2435,,-0.014769362066874096,,0.46632574018879197,0.5035846195053826,341,-1.0306148854756056,-1.0063707171773641,0.9764760157844476,0.8072506250705691,False
5,60,3,steepening,3,2435,,0.010825752027885282,,0.5933789867971487,0.53225888809161,341,-1.0550893423126668,-0.9862650960487597,0.934769271658976,0.3873393067077213,False
5,60,5,slope,5,2445,,-0.02821301739274471,,0.1631329878192511,0.561548467569494,341,-0.9709177239960343,-1.0043931103291768,1.0344780875925994,0.607916971167211,False
5,60,5,spread,5,2433,,0.008621438803445675,,0.670803352735526,0.4970256049559725,341,-0.9802986036932253,-1.008418537193057,1.0286850694205738,0.49795764930529773,False
5,60,5,steepening,5,2433,,-0.03507803533990523,,0.08365116881069742,0.5594919587182643,341,-0.9709177239960343,-0.9945247426454712,1.024314128855612,0.6710581349722406,False
5,60,10,slope,10,2440,,0.012786705800309857,,0.5278320769962939,0.5412071066161518,339,-1.1078332756662101,-1.0785262575861572,0.9735456419988568,0.4346126873051376,False
5,60,10,spread,10,2428,,0.011832980358448136,,0.5600365745678038,0.48964030181931867,339,-1.03807393427328,-1.079386537031364,1.039797360663916,0.4322236824821838,False
5,60,10,steepening,10,2428,,0.006142404878793553,,0.7622614825424711,0.533642032541519,339,-1.0885387242998075,-1.0524793514288264,0.9668735966245244,0.8324126745497471,False
5,60,20,slope,20,2430,,0.026936630777577984,,0.18437651125577348,0.5279946669221435,339,-1.0961384180878069,-0.9327778068655063,0.8509671693587019,0.07737655946841111,False
5,60,20,spread,20,2418,,-0.018939577890850587,,0.3518944893674664,0.4975566538295812,339,-0.9361581563342446,-1.092630532842838,1.1671431001801011,0.03247909357443884,False
5,60,20,steepening,20,2418,,0.01637625058104807,,0.420871831966769,0.5202916428154872,339,-1.092630532842838,-0.9612083515686211,0.8797194684535504,0.20348535405147827,False
5,120,1,slope,1,2389,,-0.033976913713371755,,0.09685143384453102,0.5564493251313903,334,-1.0124524797933816,-1.0483597689988862,1.0354656538673621,0.9296989171225996,False
5,120,1,spread,1,2377,,-0.02162748766324078,,0.2918803052542202,0.5037850477872899,331,-1.1022478123861867,-0.9683813720039212,0.8785514120527338,0.5368792474649839,False
5,120,1,steepening,1,2377,,-0.03264954372366908,,0.11151987390125032,0.5526235826123719,331,-0.953903565211978,-1.027033014574912,1.0766633567898272,0.6010739625797465,False
5,120,3,slope,3,2387,,-0.010959843142615127,,0.5925116133933235,0.538035036084045,334,-1.002748115468243,-0.987079041361173,0.984373868307144,0.791262947991411,False
5,120,3,spread,3,2375,,0.0023962666015886853,,0.9070833051041299,0.49448349835448063,331,-1.0546037252422402,-0.956512515889401,0.9069876134466452,0.5189973754022883,False
5,120,3,steepening,3,2375,,0.009642475061065166,,0.6385839155797902,0.5250994490536504,331,-0.9612309989237179,-0.9929330972996525,1.0329807282655585,0.8423935074641125,False
5,120,5,slope,5,2385,,-0.03275468884753703,,0.10977314559861676,0.5640979337082361,334,-1.0441838137852844,-0.9378279831018299,0.8981445323329591,0.05986879217481198,False
5,120,5,spread,5,2373,,0.02091800941035451,,0.3084105211598558,0.47574328199772287,331,-0.9121398670625864,-1.0145349850046799,1.1122581323759502,0.20490837427182063,False
5,120,5,steepening,5,2373,,-0.046690570076757094,,0.02293589859011029,0.5634323424809072,331,-1.0409394350473613,-0.9320011175876732,0.8953461519548143,0.08277797002510474,False
5,120,10,slope,10,2380,,0.0222791431377354,,0.27727672954561366,0.5373193177909581,332,-1.1021617658083878,-1.079386537031364,0.9793358566014861,0.32086642559666145,False
5,120,10,spread,10,2368,,0.02504354233967787,,0.22314077592730508,0.4752871423387078,329,-1.016850051179004,-1.1006156392928248,1.082377522641315,0.4069110108905505,False
5,120,10,steepening,10,2368,,0.020003623733387096,,0.3305524428744068,0.5270542990050759,329,-1.0664931910113964,-1.057575795013693,0.9916385814059941,0.47333200508377526,False
5,120,20,slope,20,2370,,0.020393092126809478,,0.3210174957555226,0.5338236831103679,332,-1.0567068726570727,-0.9256313601351326,0.8759584933971776,0.41027994669098145,False
5,120,20,spread,20,2358,,-0.010922298822349847,,0.5960334911575137,0.4822294593664723,329,-0.9344679815998754,-1.075650365956761,1.1510831693935315,0.02888161989488545,False
5,120,20,steepening,20,2358,,0.01228711595442187,,0.5509353035888286,0.5289781644570335,329,-1.0579906000919834,-0.9279924377527461,0.8771272993087698,0.5898005066213396,False
5,252,1,slope,1,2257,,-0.03264699090334219,,0.12101103130972915,0.5479849624534016,312,-0.9906709654710912,-1.0292717247752796,1.0389642582144645,0.7305084024765582,False
5,252,1,spread,1,2245,,-0.030928664742788152,,0.14292673209331808,0.5077714926361923,308,-1.095544328240961,-0.974072213333357,0.8891216797200318,0.6535635580943919,False
5,252,1,steepening,1,2245,,-0.03012714346758721,,0.15358103022989017,0.5428780427729365,308,-0.9663345025125477,-1.0250060072953777,1.060715523072269,0.8534882222688902,False
5,252,3,slope,3,2255,,-0.0041576326005282275,,0.843573828373832,0.5291359598537078,312,-0.9497343955733788,-1.0139065086960897,1.067568483801167,0.4491296055913975,False
5,252,3,spread,3,2243,,0.008930839755943564,,0.672484901372631,0.489803416656199,308,-1.0301348235778645,-0.984503172996044,0.9557032249202754,0.7988797052012973,False
5,252,3,steepening,3,2243,,0.021160265054182302,,0.31648345372853676,0.513179876899887,308,-0.9476747582916736,-0.9944228264780262,1.049329232183648,0.5652595192741114,False
5,252,5,slope,5,2253,,-0.03428828643847979,,0.10371684238601954,0.5559221097399946,312,-1.0299689985112837,-0.9945247426454712,0.9655870653223121,0.26826096435279934,False
5,252,5,spread,5,2241,,0.008281402647488428,,0.6951890150996562,0.4875908110220623,308,-0.9206863777557204,-1.0367499022003857,1.1260619546990405,0.25887434988562663,False
5,252,5,steepening,5,2241,,-0.04432656071005756,,0.03588354810710073,0.5542671142304954,308,-1.0409394350473613,-0.9541144515261556,0.9165897836147833,0.15866775524526466,False
5,252,10,slope,10,2248,,0.026324424446119148,,0.21216145687033966,0.5327678236075183,310,-1.150714152741164,-0.9965942664150949,0.866065880949727,0.16697424510927972,False
5,252,10,spread,10,2236,,0.01253849647775438,,0.5534544782026105,0.49509788737584504,306,-0.9830252076784485,-1.1106572999546374,1.1298360319544702,0.057593288047294744,False
5,252,10,steepening,10,2236,,0.026975696633761644,,0.20227339044834006,0.5218146415033074,306,-1.146631198076621,-0.9962412766142759,0.8688419417554556,0.2152097357046191,False
5,252,20,slope,20,2238,,0.025035417076388507,,0.2364578044677037,0.5248666555546295,310,-1.0320228060063488,-0.9316295726910793,0.9027218848934507,0.9990741648993742,False
5,252,20,spread,20,2226,,0.00010344264163399924,,0.9961081462160304,0.47880183992949527,306,-0.9929513441793143,-1.066055239917732,1.0736228377824888,0.6754669149007572,False
5,252,20,steepening,20,2226,,0.022773658408171027,,0.2828188930598087,0.5172989717361367,306,-1.0505228154601736,-0.9203381573761769,0.8760763153659159,0.5288487982093293,False
10,60,1,slope,1,2444,,-0.025925054945704157,,0.20011915752022527,0.5429976065837687,341,-0.9505660491192365,-1.035925229619756,1.089798263444829,0.06003850751299233,False
10,60,1,spread,1,2417,,0.028837471453732142,,0.15639587967307989,0.4781454417818054,338,-1.0960851166725751,-1.0483597689988862,0.9564583562464833,0.5162946797036089,False
10,60,1,steepening,1,2417,,-0.017075712477967173,,0.4014019376916324,0.5337748948138559,338,-0.943804495600819,-1.040235007845797,1.1021721264249658,0.033481953924889535,False
10,60,3,slope,3,2442,,-0.009468628171805674,,0.6400146663850503,0.5384775841596868,341,-0.9590407470984321,-1.028202627093549,1.0721156845570592,0.7080355351305905,False
10,60,3,spread,3,2415,,0.010169449940807714,,0.6174216255265269,0.4795943588252399,338,-0.9853989111715048,-0.9679039009897172,0.9822457585618921,0.9967531060088181,False
10,60,3,steepening,3,2415,,-0.0059685679515243005,,0.7693983280196355,0.5342196132596685,338,-0.9679039009897172,-1.0250903210778026,1.0590827457453267,0.9205824690742426,False
10,60,5,slope,5,2440,,-0.049579158141083005,,0.014314168623082083,0.568029610635189,341,-0.9949560299840896,-0.9624048164301381,0.9672837667464842,0.9064882744123473,False
10,60,5,spread,5,2413,,-0.01733633413125145,,0.3946453488414541,0.4915147561468632,338,-1.006482755860295,-1.0055389808187114,0.9990623038138624,0.6354401062030526,False
10,60,5,steepening,5,2413,,-0.0485673416084734,,0.0170368662649513,0.5652734389356463,338,-0.9802313830709615,-0.9803539029782132,1.000124990802547,0.6647314872378914,False
10,60,10,slope,10,2435,,-0.0009824518688028492,,0.9613536965241,0.5436053308393733,339,-1.0366253324412287,-1.1282680404408854,1.0884048509444006,0.06706693420820115,False
10,60,10,spread,10,2408,,-0.02465675264845066,,0.2264721819412833,0.510778448016287,336,-1.0053923587525593,-1.0361048112607842,1.0305477281987019,0.4890696317687069,False
10,60,10,steepening,10,2408,,0.011300430564505968,,0.5794026632565967,0.5291787238339382,336,-1.0515626648005183,-1.108968205623184,1.0545906989133695,0.09966512874531987,False
10,60,20,slope,20,2425,,0.010205659205674712,,0.6154393526428349,0.5250321805390642,339,-1.0062771314174983,-1.0441978708706443,1.0376841908349133,0.37940772563419445,False
10,60,20,spread,20,2398,,-0.0032459563990907283,,0.873771290453588,0.4818751623946429,336,-0.9605108582248472,-1.0147099189832762,1.0564273274938256,0.9679270427464207,False
10,60,20,steepening,20,2398,,0.007015677380771334,,0.7313137633921406,0.5201469643028085,336,-1.011487178816276,-1.059339654494201,1.047309028408967,0.42667888632366224,False
10,120,1,slope,1,2384,,-0.02024410809678394,,0.323139828749673,0.539883929006869,333,-0.9220350266692989,-1.001557878547791,1.086247105129786,0.11460303757017888,False
10,120,1,spread,1,2357,,0.0030596571119247255,,0.881976063382959,0.49187708981897843,329,-1.1034848047567558,-0.9948542296371033,0.9015568001920985,0.4629394880460814,False
10,120,1,steepening,1,2357,,-0.011906042030776888,,0.5634399217895282,0.530277873861409,329,-0.9442152648272584,-1.0303377366240807,1.0912106327920659,0.06961865244326633,False
10,120,3,slope,3,2382,,0.0015988471942188062,,0.9378344111607071,0.5251955064721633,333,-0.9460819082056194,-1.0262704306092334,1.0847585412088716,0.6683458423646575,False
10,120,3,spread,3,2355,,0.024075631886929467,,0.2428473129477403,0.4794668147842751,329,-1.025873069455951,-1.0217044644772524,0.9959365294763909,0.9738063796009845,False
10,120,3,steepening,3,2355,,0.0034853306860428614,,0.8657588576907097,0.5245567924139353,329,-0.9304262131444225,-1.0217321828086747,1.0981334880448812,0.7627529090665852,False
10,120,5,slope,5,2380,,-0.059271707154230545,,0.0038205677243743994,0.5653593535530759,333,-1.0177718764419572,-0.9371779772189361,0.9208133953310143,0.43690843676123925,False
10,120,5,spread,5,2353,,-0.025598167014535357,,0.21451245289177254,0.5004985238451674,329,-0.9600771873197824,-0.9802926430245873,1.021056073378058,0.7822045509638933,False
10,120,5,steepening,5,2353,,-0.0559838815208082,,0.006600839363797418,0.5599252845275091,329,-0.9949560299840896,-0.9542615822179752,0.959099250077649,0.9788747855915736,False
10,120,10,slope,10,2375,,0.010054059335610276,,0.62432590683301,0.5342570740371281,331,-1.0152219225027013,-1.1454446592640677,1.1282702174519088,0.07875860750247402,False
10,120,10,spread,10,2348,,0.006334458560727996,,0.7590083929822119,0.48813453878689356,327,-1.0524717879624323,-1.0962713225842182,1.0416158752403055,0.6442807233198793,False
10,120,10,steepening,10,2348,,0.022039069557621575,,0.2857507236407459,0.5222806030863104,327,-1.0418684446869404,-1.1021617658083878,1.0578703783850218,0.5605771752465508,False
10,120,20,slope,20,2365,,0.01146316433809129,,0.5773964057518148,0.521743692361884,331,-1.0054153842691838,-1.0221664322374369,1.016660823208339,0.3785639072123661,False
10,120,20,spread,20,2338,,-0.0011389429989743152,,0.9561052188991356,0.4659244819564752,327,-0.9556287045548062,-1.0865825382916603,1.137034219579937,0.1532582570510707,False
10,120,20,steepening,20,2338,,0.004786194101173636,,0.817078808173347,0.5185342122983686,327,-1.012345841843791,-1.0049915252151476,0.992735371327995,0.680098702159708,False
10,252,1,slope,1,2252,,-0.015243178551000325,,0.46967428490628643,0.5294113919906732,309,-0.9220350266692989,-1.0483597689988862,1.1370064462582454,0.018112860403176403,False
10,252,1,spread,1,2225,,-0.006072216290806284,,0.7746732072375427,0.506833727739105,304,-1.0259816155782842,-0.9917607235486341,0.9666457064044351,0.7715642347797507,False
10,252,1,steepening,1,2225,,-0.005320887909523001,,0.8019327760337085,0.5216315012177638,304,-0.9493848520306304,-1.0316154513937152,1.0866146106999734,0.19322220401264212,False
10,252,3,slope,3,2250,,0.001338598515411655,,0.9494001729946094,0.5259342652531507,309,-0.9353114466826569,-1.0183740445395468,1.088807421476017,0.5173004634776803,False
10,252,3,spread,3,2223,,0.047660079760771606,,0.024632107779112518,0.4709437138258342,304,-1.0184861419419675,-0.9944228264780262,0.9763734483239415,0.5164929987639054,False
10,252,3,steepening,3,2223,,0.0034626580878293774,,0.870385771506973,0.5253757200120905,304,-0.9355464759694518,-1.0094389728526325,1.0789832453877934,0.9096315702249603,False
10,252,5,slope,5,2248,,-0.029515367364693967,,0.16183072269750634,0.544570968484012,309,-1.0388292795871155,-0.9541144515261556,0.918451636158513,0.7293703498162596,False
10,252,5,spread,5,2221,,-0.021115212394098824,,0.3199028343953639,0.5078449328449328,304,-0.9459712173139927,-1.0177718764419572,1.0759015261921356,0.48160698943778535,False
10,252,5,steepening,5,2221,,-0.026688053533692104,,0.20866067559125095,0.5413047270190128,304,-1.0398843573172383,-0.9803539029782132,0.9427528129256549,0.5719875136341043,False
10,252,10,slope,10,2243,,0.006341006969679475,,0.7640644665730696,0.5364739929837683,307,-1.0148964306916617,-1.098082805691077,1.0819653833472673,0.6017652466375271,False
10,252,10,spread,10,2216,,-0.005501284098044864,,0.7957698513775998,0.5064436558908537,302,-1.048115857752259,-1.0303411778346283,0.9830413023654185,0.9961585993134999,False
10,252,10,steepening,10,2216,,0.015447742570545313,,0.4673322966729318,0.5243414328431484,302,-1.0148964306916617,-1.1021617658083878,1.0859844733686312,0.5219590224776962,False
10,252,20,slope,20,2233,,0.00924383136409877,,0.6624170088957955,0.5209460024240398,307,-1.0156831827761514,-0.993031520640186,0.9776981025972568,0.7219782560369863,False
10,252,20,spread,20,2206,,0.009991338153555681,,0.6390555967451741,0.4782744918560088,302,-1.0441978708706443,-1.0594049814615076,1.0145634376539991,0.8718683359675008,False
